layer;level;class;id;metric;value
1;class;11;NA;mesh;4,08E-06
1;class;12;NA;mesh;0,029357489
1;class;15;NA;mesh;0,030608906
1;class;30;NA;mesh;0,415410109
1;class;33;NA;mesh;0,000329634
1;class;3;NA;nlsi;0,163225434
1;class;4;NA;nlsi;0,344827586
1;class;11;NA;nlsi;0,516129032
1;class;12;NA;nlsi;0,318785579
1;class;15;NA;nlsi;0,368323829
1;class;30;NA;nlsi;0,130819447
1;class;33;NA;nlsi;0,504524887
1;class;3;NA;np;28
1;class;4;NA;np;2
1;class;11;NA;np;7
1;class;12;NA;np;246
1;class;15;NA;np;262
1;class;30;NA;np;35
1;class;33;NA;np;50
1;class;3;NA;pd;0,017471153
1;class;4;NA;pd;0,00124794
1;class;11;NA;pd;0,004367788
1;class;12;NA;pd;0,153496559
1;class;15;NA;pd;0,163480075
1;class;30;NA;pd;0,021838941
1;class;33;NA;pd;0,031198488
1;class;3;NA;pladj;99,75866103
1;class;4;NA;pladj;50
1;class;11;NA;pladj;37,5
1;class;12;NA;pladj;67,25036651
1;class;15;NA;pladj;62,37608058
1;class;30;NA;pladj;85,78331638
1;class;33;NA;pladj;47,19827586
1;class;3;NA;split;1,023212471
1;class;4;NA;split;17423920282
1;class;11;NA;split;39310064050
1;class;12;NA;split;5459056,133
1;class;15;NA;split;5235867,625
1;class;30;NA;split;385797,4939
1;class;33;NA;split;486187820,8
